Tinh,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
HCM,10206,11965,11113,11965,12902,13645,13443,21382,12777,11502,10909,11653,17056,18954,10914,11110,10323,16458,11579,12953,15573,9759,11466,10001,10559,13300,13999,10167,9138,10445
HA NOI,5551,7663,7022,7663,9853,11010,6747,6855,9085,15594,10312,10714,12091,7089,5443,7331,7855,8394,11860,9250,5529,5168,7071,7811,8187,8285,8795,5561,4788,7054
THANH HOA,8033,5476,3676,5476,3170,3432,4080,4569,3273,3463,3353,3662,4359,4380,4104,2986,2969,3173,2920,3131,3297,3712,2806,2674,2652,2788,3096,3625,3317,2662
DONG NAI,3655,3620,1942,3620,1970,2065,2428,5393,2193,1982,1883,2057,2668,4177,3606,2526,2293,2933,1968,2042,3324,3297,1873,1843,2026,2136,2083,2512,2797,1842
NGHE AN,8590,10584,10372,10584,8368,6136,6466,6795,6103,6014,6355,5891,6519,7085,6346,5525,5342,5895,6505,7041,6707,6013,5073,5190,4795,5151,5436,5979,5587,5324
BAC NINH,1431,1554,947,1554,1019,1112,1257,1348,1115,1535,1083,1204,1351,1264,1156,913,943,966,1317,1179,1020,1184,925,946,1100,1091,1081,1186,1087,927
DA NANG,2753,4087,2320,4087,2024,2153,2488,2626,2017,2291,2143,2431,2386,2508,2208,2097,2030,2217,2206,2444,2285,2086,1991,2216,2758,2538,2306,2276,1746,1825
DAK LAK,1734,2472,1672,2472,1274,1538,1657,1893,1470,1218,956,1162,1754,8194,6512,3945,4956,4210,3245,2043,4928,5031,3271,977,889,928,1052,1116,1067,859
LAM DONG,7504,9548,5354,9548,4466,4563,5398,5284,3258,2777,2720,3166,5333,1477,2677,1423,1550,1805,1051,3774,1469,1615,902,2885,2825,2888,3077,4019,4102,3490
CAN THO,3703,3489,2029,3489,2067,2092,2432,2728,1849,1823,1693,2159,2589,2359,2518,2398,2412,2605,1993,2487,2871,2446,1809,1722,1719,1771,2059,2273,3223,2492
NHA TRANG,2245,2155,1327,2155,1214,1434,1520,1999,1544,1285,1269,1735,1610,1657,1964,1161,1580,1341,1450,1446,1713,1694,1077,1079,1045,1191,1197,1382,1288,1016
BINH DUONG,1043,927,703,927,685,611,679,1200,688,637,658,768,889,1091,919,772,786,991,722,736,881,933,768,684,701,817,822,722,709,648
QUANG NGAI,3050,3189,1975,3189,1950,2254,2680,2690,2146,2054,2065,2071,2529,2552,2430,2159,2526,2111,2156,2194,2227,2359,1761,1863,2573,2042,1888,2090,1782,1755
NAM DINH,5672,4403,2496,4403,2098,2323,2925,3755,2433,3023,2255,1549,4564,3794,2958,1674,1091,1058,1102,2075,1454,1624,1041,1953,2068,2135,2183,2590,2442,2003
THAI NGUYEN,2254,2306,1451,2306,1125,1342,1682,1632,1952,1855,1840,2820,1997,1960,1520,1028,2063,2160,2031,1263,2586,3194,2048,1033,1105,1051,1209,1377,1339,1776
TAY NINH,3487,3264,1999,3264,1526,1473,2132,3019,1775,1750,2267,2388,2501,3296,3083,2109,2060,2972,1538,1695,2286,2542,1490,1504,1589,1644,1585,3469,2231,1018
BINH DINH,1652,1943,956,1943,920,1044,1185,1367,1089,1202,1018,1084,1216,1176,1219,1152,1238,1365,1285,1256,1091,1068,856,874,1161,1008,1055,1036,943,825
THAI BINH,3332,2411,1419,2411,1439,1466,1973,2397,1556,1747,1571,1803,1594,2038,1844,1359,1272,1286,1341,1502,1560,1757,1371,1239,1411,1353,1286,1448,1472,1185
HA LONG,2597,1945,1221,1945,1278,1391,1819,1865,1371,1572,1406,1591,1782,2360,1760,1073,1176,1122,1409,1442,1554,1590,1192,1093,1081,1102,1172,1570,1362,1153
HOI AN,2010,2015,1114,2015,1059,1213,1572,1590,1188,1282,1208,1303,1827,2162,1542,1164,1049,1075,1015,1182,1233,1189,988,1005,1269,1664,1472,1751,1600,1149